netuid,name,symbol,taoFlow,taoFlowBlock,burnEmissionPct,ownerEmission,totalNeuronEmission,subnetEmission,subnetEmissionPct,burnCost,taoIn,alphaIn,alphaOut,movingPrice,subnetVolume
1,Apex,α,-12.897961933,8258985,90.383764,,0.0,0.0,0.0,0.0005,28240.984528215,2795935.95064224,1613043.817333474,0.010100923,784.004892165
2,DSperse,β,-225.26283238,8258985,87.199207,,0.0,0.0,0.0,0.0005,10071.912641646,1891091.399266744,2595403.590184712,0.005333452,215.384391926
3,deprecated,γ,-3596.478621399,8258985,0.0,,0.0,0.0,0.0,0.056180514,74751.208281131,2794966.698786042,1775781.939606012,0.026773474,4756.476113741
4,Targon,δ,4986.744331825,8258985,48.265812,,28686410.0,0.069470980362,6.947098,0.0005,133847.078931746,2333003.078277074,2433253.796398246,0.057372865,3450.855699841
5,Hone,ε,-3106.518558397,8258985,100.0,,0.0,0.0,0.0,0.0005,41068.550764411,2058561.091822679,1615162.238033547,0.019950215,4310.993460249
6,Numinous,ζ,-87.790193396,8258985,0.0,,0.0,0.0,0.0,0.2,9798.91398269,2372888.921501958,2410199.374382322,0.004138207,1190.045042917
7,Allways,η,81.119852413,8258985,58.550393,,0.0,0.0,0.0,0.0005,7240.917348023,1727029.41704336,2916423.319099397,0.004186027,110.160950261
8,Vanta,θ,-581.873681844,8258985,95.875486,,0.0,0.0,0.0,0.0005,83124.435707059,2600225.074215127,1965709.746940657,0.031969848,770.04220267
9,iota,ι,4808.62143558,8258985,97.999542,,13867033.0,0.095881570165,9.588157,0.0005,53209.822401658,1918610.332303871,2379884.15387617,0.027734549,9933.509555468
10,Swap,κ,56.605520233,8258985,100.0,,0.0,0.0,0.0,0.0005,15165.592132912,2792715.669141624,1847653.552767391,0.005433735,383.431068626
11,TrajectoryRL,λ,468.580098575,8258985,75.391775,,0.0,0.0,0.0,0.2,22166.475483978,2204380.038171129,1807341.672981722,0.010067108,1767.527872588
12,Compute Horde,μ,-81.390765721,8258985,99.372854,,0.0,0.0,0.0,0.0005,14515.057451111,2310016.645108614,1798795.225917079,0.006283767,16.865383418
13,Data Universe,ν,-211.959661102,8258985,71.285573,,0.0,0.0,0.0,0.006001742,22917.701818691,3046274.20315562,1724919.700344883,0.007523592,112.26570286
14,Cacheon,ㄷ,-2866.300556983,8258985,100.0,,7026991.0,0.047353879619,4.735388,0.0005,30227.699148505,2152098.699497712,1940510.928721858,0.014054193,2194.302402447
15,ORO,ο,-170.313026763,8258985,66.344701,,10505611.0,0.0210112228,2.101122,0.131795441,6110.881216793,229442.055655358,515526.944898307,0.026622969,644.411977903
16,BitAds,π,-381.363859251,8258985,97.463951,,0.0,0.0,0.0,0.0005,7899.242194919,1963626.711717032,2198917.538545494,0.004024522,98.056202962
