"subnet","category","channelId","channelUrl","messageId","messageUrl","searchPage"
"𝛼・apex・1","[・Subnets・]","1161764867166961704","https://discord.com/channels/799672011265015819/1161764867166961704","1508074699589025964","https://discord.com/channels/799672011265015819/1161764867166961704/1508074699589025964","1"
"β・dsperse・2","[・Subnets・]","1220504695404236800","https://discord.com/channels/799672011265015819/1220504695404236800","1508074692500656269","https://discord.com/channels/799672011265015819/1220504695404236800/1508074692500656269","1"
"β・dsperse・2","[・Subnets・]","1220504695404236800","https://discord.com/channels/799672011265015819/1220504695404236800","1508074516662845500","https://discord.com/channels/799672011265015819/1220504695404236800/1508074516662845500","2"
"γ・τeuτonic・3","[・Subnets・]","1493243812263362660","https://discord.com/channels/799672011265015819/1493243812263362660","1508074686745935962","https://discord.com/channels/799672011265015819/1493243812263362660/1508074686745935962","1"
"γ・τeuτonic・3","[・Subnets・]","1493243812263362660","https://discord.com/channels/799672011265015819/1493243812263362660","1508074242338717756","https://discord.com/channels/799672011265015819/1493243812263362660/1508074242338717756","3"
"∆・τargon・4","[・Subnets・]","1161765008347254915","https://discord.com/channels/799672011265015819/1161765008347254915","1508074680244895824","https://discord.com/channels/799672011265015819/1161765008347254915/1508074680244895824","1"
"ε・hone・5","[・Subnets・]","1368959417936252998","https://discord.com/channels/799672011265015819/1368959417936252998","1508074674385321984","https://discord.com/channels/799672011265015819/1368959417936252998/1508074674385321984","1"
"ζ・numinous・6","[・Subnets・]","1209554949449457705","https://discord.com/channels/799672011265015819/1209554949449457705","1508074669998342296","https://discord.com/channels/799672011265015819/1209554949449457705/1508074669998342296","1"
"η・allways・7","[・Subnets・]","1437494877578330174","https://discord.com/channels/799672011265015819/1437494877578330174","1508074664516255905","https://discord.com/channels/799672011265015819/1437494877578330174/1508074664516255905","1"
"θ・vanta・8","[・Subnets・]","1162384774170677318","https://discord.com/channels/799672011265015819/1162384774170677318","1508074659017658479","https://discord.com/channels/799672011265015819/1162384774170677318/1508074659017658479","1"
"ι・ioτa・9","[・Subnets・]","1162768567821930597","https://discord.com/channels/799672011265015819/1162768567821930597","1508074652096790759","https://discord.com/channels/799672011265015819/1162768567821930597/1508074652096790759","1"
"κ・unclaimed・10","[・Subnets・]","1466140393199636692","https://discord.com/channels/799672011265015819/1466140393199636692","1508074646887731273","https://discord.com/channels/799672011265015819/1466140393199636692/1508074646887731273","1"
