subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
𝛼・apex・1,𝛼・apex・1,1161764867166961704,1508074699589025964,https://discord.com/channels/799672011265015819/1161764867166961704/1508074699589025964,25,2,27,legit,0,target-verified,2026-05-24T22:04:37.981Z
β・dsperse・2,β・dsperse・2,1220504695404236800,1508074692500656269,https://discord.com/channels/799672011265015819/1220504695404236800/1508074692500656269,12,1,13,legit,0,target-verified,2026-05-24T22:04:43.102Z
γ・τeuτonic・3,γ・τeuτonic・3,1493243812263362660,1508074686745935962,https://discord.com/channels/799672011265015819/1493243812263362660/1508074686745935962,36,4,40,legit,0,target-verified,2026-05-24T22:04:48.321Z
∆・τargon・4,∆・τargon・4,1161765008347254915,1508074680244895824,https://discord.com/channels/799672011265015819/1161765008347254915/1508074680244895824,22,0,22,legit,0,target-verified,2026-05-24T22:04:53.564Z
ε・hone・5,ε・hone・5,1368959417936252998,1508074674385321984,https://discord.com/channels/799672011265015819/1368959417936252998/1508074674385321984,16,8,24,legit,0,target-verified,2026-05-24T22:04:59.290Z
ζ・numinous・6,ζ・numinous・6,1209554949449457705,1508074669998342296,https://discord.com/channels/799672011265015819/1209554949449457705/1508074669998342296,9,17,26,bunk,0,target-verified,2026-05-24T22:05:04.129Z
η・allways・7,η・allways・7,1437494877578330174,1508074664516255905,https://discord.com/channels/799672011265015819/1437494877578330174/1508074664516255905,18,11,29,legit,0,target-verified,2026-05-24T22:05:09.296Z
θ・vanta・8,θ・vanta・8,1162384774170677318,1508074659017658479,https://discord.com/channels/799672011265015819/1162384774170677318/1508074659017658479,15,18,33,bunk,0,target-verified,2026-05-24T22:05:15.265Z
ι・ioτa・9,ι・ioτa・9,1162768567821930597,1508074652096790759,https://discord.com/channels/799672011265015819/1162768567821930597/1508074652096790759,30,4,34,legit,0,target-verified,2026-05-24T22:05:56.184Z
κ・unclaimed・10,κ・unclaimed・10,1466140393199636692,1508074646887731273,https://discord.com/channels/799672011265015819/1466140393199636692/1508074646887731273,1,17,18,bunk,1,target-verified,2026-05-24T22:06:01.695Z
λ・trajectory-rl・11,λ・trajectory-rl・11,1466120711033590034,1508074641804234852,https://discord.com/channels/799672011265015819/1466120711033590034/1508074641804234852,39,3,42,legit,0,target-verified,2026-05-24T22:06:06.595Z
µ・horde・12,µ・horde・12,1201941624243109888,1508074634208215151,https://discord.com/channels/799672011265015819/1201941624243109888/1508074634208215151,2,10,12,bunk,0,target-verified,2026-05-24T22:06:11.732Z
ν・daτaverse・13,ν・daτaverse・13,1185617142914236518,1508074631289110558,https://discord.com/channels/799672011265015819/1185617142914236518/1508074631289110558,14,5,19,legit,1,target-verified,2026-05-24T22:06:16.699Z
ㄷ・cacheon・14,ㄷ・cacheon・14,1503393871172866098,1508074630181683413,https://discord.com/channels/799672011265015819/1503393871172866098/1508074630181683413,16,0,16,legit,2,target-verified,2026-05-24T22:06:22.283Z
ο・oro・15,ο・oro・15,1466080859164643389,1508074617590251640,https://discord.com/channels/799672011265015819/1466080859164643389/1508074617590251640,31,4,35,legit,0,target-verified,2026-05-24T22:06:27.987Z
π・biτads・16,π・biτads・16,1437905570219950170,1508074610791415831,https://discord.com/channels/799672011265015819/1437905570219950170/1508074610791415831,13,4,17,legit,13,target-verified,2026-05-24T22:06:33.870Z
ρ・404—gen・17,ρ・404—gen・17,1179081290289528864,1508074603883266170,https://discord.com/channels/799672011265015819/1179081290289528864/1508074603883266170,14,6,20,legit,0,target-verified,2026-05-24T22:06:38.779Z
σ・zeus・18,σ・zeus・18,1335971614516576296,1508074598376411287,https://discord.com/channels/799672011265015819/1335971614516576296/1508074598376411287,1,13,14,bunk,0,target-verified,2026-05-24T22:06:44.570Z
τ・blockmachine・19,τ・blockmachine・19,1414687189752746167,1508074582001844285,https://discord.com/channels/799672011265015819/1414687189752746167/1508074582001844285,19,0,19,legit,0,target-verified,2026-05-24T22:06:50.046Z
υ・groundlayer・20,υ・groundlayer・20,1475925616996909269,1508074587324420308,https://discord.com/channels/799672011265015819/1475925616996909269/1508074587324420308,1,9,10,bunk,0,target-verified,2026-05-24T22:06:55.347Z
φ・adτao・21,φ・adτao・21,1489651673944297472,1508074575601209535,https://discord.com/channels/799672011265015819/1489651673944297472/1508074575601209535,8,8,16,tie,0,target-verified,2026-05-24T22:07:07.740Z
χ・desearch・22,χ・desearch・22,1189589759065067580,1508074569129398433,https://discord.com/channels/799672011265015819/1189589759065067580/1508074569129398433,12,4,16,legit,0,target-verified,2026-05-24T22:07:13.027Z
ψ・trishool・23,ψ・trishool・23,1437447445176127618,1508074563614019685,https://discord.com/channels/799672011265015819/1437447445176127618/1508074563614019685,21,9,30,legit,0,target-verified,2026-05-24T22:07:18.498Z
ω・quasar・24,ω・quasar・24,1453112474692751532,1508074557552984175,https://discord.com/channels/799672011265015819/1453112474692751532/1508074557552984175,42,7,49,legit,0,target-verified,2026-05-24T22:07:25.129Z
