"subnet","channelId","messageId","up","down","total","status","messageUrl"
"𝛼・apex・1","1161764867166961704","1508074699589025964","17","0","17","ok","https://discord.com/channels/799672011265015819/1161764867166961704/1508074699589025964"
"β・dsperse・2","1220504695404236800","1508074692500656269","7","0","7","ok","https://discord.com/channels/799672011265015819/1220504695404236800/1508074692500656269"
"γ・τeuτonic・3","1493243812263362660","1508074686745935962","30","2","32","ok","https://discord.com/channels/799672011265015819/1493243812263362660/1508074686745935962"
"∆・τargon・4","1161765008347254915","1508074680244895824","13","0","13","ok","https://discord.com/channels/799672011265015819/1161765008347254915/1508074680244895824"
"ε・hone・5","1368959417936252998","1508074674385321984","5","5","10","ok","https://discord.com/channels/799672011265015819/1368959417936252998/1508074674385321984"
"ζ・numinous・6","1209554949449457705","1508074669998342296","4","10","14","ok","https://discord.com/channels/799672011265015819/1209554949449457705/1508074669998342296"
"η・allways・7","1437494877578330174","1508074664516255905","11","4","15","ok","https://discord.com/channels/799672011265015819/1437494877578330174/1508074664516255905"
"θ・vanta・8","1162384774170677318","1508074659017658479","3","10","13","ok","https://discord.com/channels/799672011265015819/1162384774170677318/1508074659017658479"
"ι・ioτa・9","1162768567821930597","1508074652096790759","15","3","18","ok","https://discord.com/channels/799672011265015819/1162768567821930597/1508074652096790759"
"κ・unclaimed・10","1466140393199636692","1508074646887731273","0","3","3","ok","https://discord.com/channels/799672011265015819/1466140393199636692/1508074646887731273"
"λ・trajectory-rl・11","1466120711033590034","1508074641804234852","27","2","29","ok","https://discord.com/channels/799672011265015819/1466120711033590034/1508074641804234852"
"µ・horde・12","1201941624243109888","1508074634208215151","0","3","3","ok","https://discord.com/channels/799672011265015819/1201941624243109888/1508074634208215151"
"ν・daτaverse・13","1185617142914236518","1508074631289110558","10","2","12","ok","https://discord.com/channels/799672011265015819/1185617142914236518/1508074631289110558"
"ㄷ・cacheon・14","1503393871172866098","1508074630181683413","12","0","12","ok","https://discord.com/channels/799672011265015819/1503393871172866098/1508074630181683413"
"ο・oro・15","1466080859164643389","1508074617590251640","23","2","25","ok","https://discord.com/channels/799672011265015819/1466080859164643389/1508074617590251640"
"π・biτads・16","1437905570219950170","1508074610791415831","1","1","2","ok","https://discord.com/channels/799672011265015819/1437905570219950170/1508074610791415831"
"ρ・404—gen・17","1179081290289528864","1508074603883266170","4","3","7","ok","https://discord.com/channels/799672011265015819/1179081290289528864/1508074603883266170"
"σ・zeus・18","1335971614516576296","1508074598376411287","0","4","4","ok","https://discord.com/channels/799672011265015819/1335971614516576296/1508074598376411287"
"τ・blockmachine・19","1414687189752746167","1508074582001844285","8","0","8","ok","https://discord.com/channels/799672011265015819/1414687189752746167/1508074582001844285"
"υ・groundlayer・20","1475925616996909269","1508074587324420308","1","4","5","ok","https://discord.com/channels/799672011265015819/1475925616996909269/1508074587324420308"
"φ・adτao・21","1489651673944297472","1508074575601209535","5","4","9","ok","https://discord.com/channels/799672011265015819/1489651673944297472/1508074575601209535"
"χ・desearch・22","1189589759065067580","1508074569129398433","7","2","9","ok","https://discord.com/channels/799672011265015819/1189589759065067580/1508074569129398433"
"ψ・trishool・23","1437447445176127618","1508074563614019685","8","6","14","ok","https://discord.com/channels/799672011265015819/1437447445176127618/1508074563614019685"
"ω・quasar・24","1453112474692751532","1508074557552984175","29","4","33","ok","https://discord.com/channels/799672011265015819/1453112474692751532/1508074557552984175"
"א・mainframe・25","1234881153832321024","1508074548841681047","1","9","10","ok","https://discord.com/channels/799672011265015819/1234881153832321024/1508074548841681047"
"ב・perτurb・26","1501594532016558080","1508074540205608971","28","23","51","ok","https://discord.com/channels/799672011265015819/1501594532016558080/1508074540205608971"
"ג・unclaimed・27","1491076891220770916","1508074534824054826","0","3","3","ok","https://discord.com/channels/799672011265015819/1491076891220770916/1508074534824054826"
"ד・fish・28","1343950080465698836","1508074526905340036","5","13","18","ok","https://discord.com/channels/799672011265015819/1343950080465698836/1508074526905340036"
"ה・booτsτrap・29","1501236443865940059","1508074513760256122","0","1","1","ok","https://discord.com/channels/799672011265015819/1501236443865940059/1508074513760256122"
"ו・wahooτ・30","1450258703902310543","1508074508177772554","0","3","3","ok","https://discord.com/channels/799672011265015819/1450258703902310543/1508074508177772554"
"ז・unclaimed・31","1453804374760362166","1508074502897274910","0","2","2","ok","https://discord.com/channels/799672011265015819/1453804374760362166/1508074502897274910"
"ח・iτsai・32","1215319932062011464","1508074495988994050","3","5","8","ok","https://discord.com/channels/799672011265015819/1215319932062011464/1508074495988994050"
"ט・ready・33","1233428828479819876","1508074488749625415","5","6","11","ok","https://discord.com/channels/799672011265015819/1233428828479819876/1508074488749625415"
"י・mind・34","1247680967225905273","1508074482189860884","1","4","5","ok","https://discord.com/channels/799672011265015819/1247680967225905273/1508074482189860884"
"ך・oxmarkets・35","1415790978077556906","1508074476011520001","9","0","9","ok","https://discord.com/channels/799672011265015819/1415790978077556906/1508074476011520001"
"כ・eirel・36","1490699199208230993","1508074470672437410","12","10","22","ok","https://discord.com/channels/799672011265015819/1490699199208230993/1508074470672437410"
"ל・aurelius・37","1420486463841374261","1508074465483952178","5","0","5","ok","https://discord.com/channels/799672011265015819/1420486463841374261/1508074465483952178"
"ם・unclaimed・38","1485634202895519844","1508074457367838792","2","7","9","ok","https://discord.com/channels/799672011265015819/1485634202895519844/1508074457367838792"
"מ・cathedral・39","1493246871026794596","1508074451223318549","6","0","6","ok","https://discord.com/channels/799672011265015819/1493246871026794596/1508074451223318549"
"ן・unclaimed・40","1371491429775446147","1508074445108023306","1","4","5","ok","https://discord.com/channels/799672011265015819/1371491429775446147/1508074445108023306"
"נ・almanac・41","1263142301786574889","1508074439953092718","5","8","13","ok","https://discord.com/channels/799672011265015819/1263142301786574889/1508074439953092718"
"ס・unclaimed・42","1486496645058138152","1508074434093912215","0","2","2","ok","https://discord.com/channels/799672011265015819/1486496645058138152/1508074434093912215"
"ע・graphiτe・43","1263507367405031434","1508074428733456424","0","9","9","ok","https://discord.com/channels/799672011265015819/1263507367405031434/1508074428733456424"
"ף・score・44","1271486854830755981","1508074423322808440","33","13","46","ok","https://discord.com/channels/799672011265015819/1271486854830755981/1508074423322808440"
"פ・τalisman・45","1267511824601976935","1508074417597714502","2","5","7","ok","https://discord.com/channels/799672011265015819/1267511824601976935/1508074417597714502"
"ץ・zipcode・46","1397618038894759956","1508074412161761412","11","5","16","ok","https://discord.com/channels/799672011265015819/1397618038894759956/1508074412161761412"
"צ・evolai・47","1463546702383550545","1508074404612018296","4","0","4","ok","https://discord.com/channels/799672011265015819/1463546702383550545/1508074404612018296"
"ק・quantum-c・48","1407438037956427960","1508074398358175744","1","1","2","ok","https://discord.com/channels/799672011265015819/1407438037956427960/1508074398358175744"
"ר・nepher・49","1434923225229295697","1508074390535798906","7","3","10","ok","https://discord.com/channels/799672011265015819/1434923225229295697/1508074390535798906"
"ש・synth・50","1311109830282313781","1508074381325373450","9","1","10","ok","https://discord.com/channels/799672011265015819/1311109830282313781/1508074381325373450"
"ⱄ・lium-io・51","1291754566957928469","1508073959118344202","18","0","18","ok","https://discord.com/channels/799672011265015819/1291754566957928469/1508073959118344202"
"ا・dojo・52","1213131262483628102","1508073953279737966","0","5","5","ok","https://discord.com/channels/799672011265015819/1213131262483628102/1508073953279737966"
"ب・unclaimed・53","1499471917185368247","1508073942370226237","0","1","1","verified","https://discord.com/channels/799672011265015819/1499471917185368247/1508073942370226237"
"ت・miid・54","1351934165964296232","1508073936288747680","4","0","4","ok","https://discord.com/channels/799672011265015819/1351934165964296232/1508073936288747680"
"ث・niome・55","1465796313877577903","1508073926025023499","14","4","18","ok","https://discord.com/channels/799672011265015819/1465796313877577903/1508073926025023499"
"ج・gradients・56","1311360495428702240","1508073919603540100","13","5","18","ok","https://discord.com/channels/799672011265015819/1311360495428702240/1508073919603540100"
"ح・unclaimed・57","1498317068238327928","1508073909117915317","0","2","2","verified","https://discord.com/channels/799672011265015819/1498317068238327928/1508073909117915317"
"خ・handshake・58","1471865964479119604","1508073899076878396","0","2","2","verified","https://discord.com/channels/799672011265015819/1471865964479119604/1508073899076878396"
"د・babelbiτ・59","1407849009976053832","1508073893217173644","9","5","14","ok","https://discord.com/channels/799672011265015819/1407849009976053832/1508073893217173644"
